blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
23.0,9.0,64.0,21.0,1,164.0,76.0,105.0,81.0,37,blue,NA1_4050363228
777.0,59.0,13.0,236.0,267,122.0,76.0,711.0,81.0,16,blue,NA1_4060852347
92.0,59.0,27.0,236.0,111,35.0,64.0,777.0,18.0,267,blue,NA1_4058570832
17.0,64.0,103.0,202.0,37,54.0,9.0,157.0,67.0,40,blue,NA1_4053814867
777.0,163.0,555.0,21.0,32,84.0,121.0,164.0,202.0,412,blue,NA1_4060558298
68.0,234.0,4.0,51.0,25,777.0,163.0,55.0,222.0,89,blue,NA1_4060939563
98.0,203.0,84.0,202.0,432,875.0,245.0,112.0,81.0,267,blue,NA1_4052175423
39.0,30.0,1.0,51.0,32,98.0,11.0,7.0,21.0,12,blue,NA1_4053881232
126.0,154.0,157.0,45.0,350,54.0,245.0,777.0,236.0,43,blue,NA1_4057999614
17.0,5.0,7.0,203.0,117,223.0,64.0,92.0,236.0,267,red,NA1_4050470762
85.0,246.0,238.0,67.0,147,516.0,91.0,75.0,21.0,497,red,NA1_4057525584
39.0,104.0,711.0,236.0,555,56.0,30.0,777.0,51.0,432,blue,NA1_4058711370
266.0,91.0,13.0,81.0,79,78.0,141.0,711.0,236.0,37,red,NA1_4059543378
266.0,421.0,55.0,74.0,32,41.0,25.0,105.0,21.0,201,red,NA1_4057710867
84.0,141.0,80.0,51.0,43,777.0,59.0,147.0,21.0,350,blue,NA1_4058878619
164.0,427.0,517.0,81.0,412,84.0,421.0,555.0,523.0,234,blue,NA1_4059425471
27.0,141.0,8.0,22.0,16,133.0,9.0,61.0,145.0,111,blue,NA1_4055798603
266.0,131.0,4.0,67.0,432,39.0,76.0,238.0,15.0,143,red,NA1_4058764275
164.0,59.0,4.0,236.0,37,31.0,64.0,143.0,523.0,267,red,NA1_4053965900
777.0,104.0,101.0,81.0,37,126.0,203.0,711.0,15.0,32,blue,NA1_4054304965
114.0,79.0,517.0,119.0,32,223.0,427.0,75.0,523.0,497,blue,NA1_4061196684
266.0,876.0,38.0,236.0,267,875.0,245.0,91.0,115.0,497,blue,NA1_4050347164
141.0,107.0,39.0,67.0,350,875.0,5.0,84.0,22.0,163,red,NA1_4050734603
85.0,107.0,103.0,202.0,89,875.0,102.0,96.0,21.0,32,blue,NA1_4054599438
164.0,245.0,23.0,81.0,235,236.0,76.0,777.0,21.0,111,blue,NA1_4055072279
157.0,35.0,39.0,147.0,37,164.0,104.0,517.0,119.0,111,blue,NA1_4056770488
517.0,91.0,90.0,222.0,89,113.0,9.0,34.0,236.0,555,red,NA1_4056281486
39.0,121.0,245.0,18.0,412,887.0,28.0,238.0,498.0,43,red,NA1_4060590638
27.0,245.0,115.0,360.0,53,517.0,238.0,75.0,236.0,267,blue,NA1_4057512259
266.0,120.0,711.0,51.0,89,157.0,121.0,13.0,119.0,555,blue,NA1_4056968676
240.0,76.0,104.0,119.0,3,164.0,154.0,777.0,45.0,99,blue,NA1_4058008969
62.0,64.0,103.0,523.0,40,85.0,2.0,4.0,51.0,235,red,NA1_4060087118
98.0,203.0,147.0,523.0,412,266.0,131.0,166.0,22.0,201,blue,NA1_4053683406
68.0,421.0,23.0,222.0,201,104.0,246.0,10.0,145.0,32,blue,NA1_4058126843
27.0,1.0,238.0,81.0,267,113.0,64.0,18.0,96.0,16,red,NA1_4054091903
13.0,35.0,166.0,67.0,40,38.0,5.0,777.0,51.0,161,blue,NA1_4058383124
23.0,64.0,127.0,51.0,412,98.0,5.0,38.0,18.0,16,blue,NA1_4056721815
266.0,245.0,7.0,21.0,497,157.0,246.0,777.0,45.0,12,red,NA1_4061019500
114.0,2.0,711.0,202.0,412,78.0,48.0,555.0,31.0,26,blue,NA1_4054547724
164.0,104.0,245.0,51.0,267,62.0,121.0,42.0,523.0,412,red,NA1_4054142115
266.0,245.0,55.0,236.0,412,875.0,35.0,4.0,81.0,350,blue,NA1_4061217990
266.0,64.0,19.0,202.0,101,39.0,245.0,67.0,22.0,201,red,NA1_4052728243
23.0,107.0,142.0,119.0,267,223.0,64.0,112.0,236.0,111,blue,NA1_4054610720
114.0,35.0,101.0,81.0,432,83.0,141.0,245.0,21.0,32,red,NA1_4057818795
43.0,887.0,39.0,236.0,526,107.0,245.0,54.0,523.0,235,blue,NA1_4057723895
164.0,56.0,3.0,81.0,53,17.0,19.0,99.0,18.0,117,blue,NA1_4059675708
777.0,64.0,245.0,81.0,143,92.0,421.0,10.0,51.0,12,red,NA1_4060435619
