blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
875.0,246.0,112.0,236.0,37,266.0,64.0,711.0,203.0,497,red,NA1_4055012367
114.0,35.0,245.0,119.0,497,876.0,64.0,92.0,202.0,25,blue,NA1_4051366892
164.0,246.0,134.0,711.0,32,24.0,59.0,517.0,21.0,412,red,NA1_4053423654
80.0,56.0,61.0,51.0,235,164.0,20.0,166.0,21.0,40,red,NA1_4053351372
30.0,121.0,4.0,222.0,32,39.0,91.0,7.0,51.0,267,blue,NA1_4060594407
223.0,64.0,711.0,145.0,201,14.0,104.0,238.0,74.0,53,red,NA1_4054796453
59.0,121.0,157.0,145.0,53,150.0,28.0,238.0,81.0,37,red,NA1_4056240463
266.0,78.0,104.0,236.0,63,17.0,5.0,245.0,498.0,32,blue,NA1_4051359824
23.0,76.0,238.0,523.0,53,43.0,107.0,1.0,15.0,80,blue,NA1_4060371110
39.0,876.0,157.0,115.0,37,27.0,104.0,711.0,236.0,32,blue,NA1_4058091569
92.0,245.0,246.0,21.0,26,114.0,254.0,43.0,18.0,497,blue,NA1_4056787265
24.0,59.0,161.0,22.0,40,92.0,32.0,13.0,67.0,43,red,NA1_4051356014
59.0,104.0,1.0,236.0,32,17.0,60.0,777.0,523.0,26,blue,NA1_4056325917
24.0,234.0,96.0,15.0,3,42.0,30.0,166.0,81.0,32,red,NA1_4052504054
126.0,245.0,8.0,202.0,12,6.0,104.0,69.0,81.0,350,red,NA1_4053549168
54.0,102.0,10.0,202.0,12,875.0,107.0,142.0,81.0,497,red,NA1_4053686759
98.0,20.0,23.0,22.0,497,164.0,104.0,875.0,236.0,12,red,NA1_4060816437
92.0,107.0,7.0,67.0,53,266.0,59.0,238.0,115.0,101,red,NA1_4051829035
54.0,20.0,777.0,81.0,45,114.0,91.0,103.0,145.0,412,red,NA1_4053021279
164.0,79.0,157.0,67.0,37,166.0,59.0,134.0,18.0,432,blue,NA1_4051900485
82.0,104.0,126.0,202.0,245,516.0,91.0,105.0,119.0,12,red,NA1_4056159048
54.0,79.0,157.0,51.0,40,23.0,121.0,517.0,81.0,412,blue,NA1_4053492094
54.0,238.0,34.0,523.0,412,777.0,876.0,91.0,67.0,432,red,NA1_4052750721
36.0,59.0,517.0,81.0,37,266.0,30.0,238.0,145.0,235,red,NA1_4060162084
875.0,59.0,131.0,51.0,89,54.0,246.0,20.0,29.0,117,blue,NA1_4053663179
777.0,203.0,711.0,360.0,32,24.0,59.0,42.0,21.0,350,red,NA1_4057808601
875.0,104.0,517.0,711.0,43,23.0,30.0,166.0,18.0,26,red,NA1_4058219806
62.0,28.0,777.0,236.0,43,79.0,141.0,7.0,67.0,40,blue,NA1_4059469706
122.0,82.0,42.0,498.0,37,92.0,238.0,7.0,30.0,16,red,NA1_4052084173
122.0,238.0,84.0,67.0,26,39.0,121.0,38.0,51.0,201,red,NA1_4057238688
114.0,2.0,240.0,236.0,350,79.0,5.0,517.0,29.0,117,red,NA1_4055936797
24.0,246.0,711.0,236.0,267,41.0,254.0,134.0,498.0,3,blue,NA1_4057503377
875.0,64.0,99.0,523.0,44,150.0,234.0,127.0,18.0,32,red,NA1_4059570398
6.0,20.0,238.0,112.0,350,62.0,56.0,89.0,711.0,80,blue,NA1_4052950692
58.0,245.0,1.0,21.0,32,72.0,20.0,517.0,236.0,350,blue,NA1_4055310964
