blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
126.0,102.0,238.0,67.0,267,164.0,91.0,555.0,69.0,99,blue,NA1_4054333348
82.0,421.0,112.0,360.0,412,92.0,20.0,268.0,67.0,497,red,NA1_4055705571
266.0,56.0,268.0,29.0,117,122.0,64.0,157.0,235.0,16,blue,NA1_4051921349
114.0,35.0,103.0,119.0,147,164.0,121.0,777.0,81.0,350,red,NA1_4056141484
98.0,5.0,246.0,101.0,117,420.0,102.0,84.0,18.0,111,red,NA1_4056826144
266.0,59.0,517.0,29.0,163,23.0,246.0,112.0,67.0,267,red,NA1_4060469790
67.0,104.0,517.0,81.0,12,777.0,64.0,4.0,15.0,267,red,NA1_4054837375
27.0,203.0,75.0,711.0,16,223.0,91.0,7.0,21.0,555,red,NA1_4057579236
58.0,59.0,13.0,145.0,432,266.0,91.0,68.0,81.0,350,red,NA1_4054912828
266.0,777.0,40.0,115.0,53,84.0,78.0,34.0,147.0,37,blue,NA1_4058627722
84.0,427.0,246.0,145.0,526,114.0,154.0,1.0,21.0,111,blue,NA1_4057978985
14.0,9.0,238.0,81.0,40,114.0,154.0,105.0,22.0,412,red,NA1_4052745011
85.0,102.0,105.0,81.0,143,39.0,876.0,7.0,202.0,80,red,NA1_4059106410
85.0,104.0,777.0,81.0,163,78.0,91.0,203.0,37.0,16,red,NA1_4051017686
78.0,76.0,131.0,236.0,350,58.0,876.0,234.0,18.0,111,blue,NA1_4054557544
164.0,203.0,54.0,147.0,57,62.0,104.0,55.0,81.0,40,red,NA1_4054561504
54.0,121.0,105.0,67.0,163,78.0,154.0,246.0,51.0,63,red,NA1_4051478643
75.0,141.0,101.0,119.0,89,875.0,59.0,112.0,21.0,711,blue,NA1_4055318890
98.0,5.0,711.0,145.0,32,777.0,154.0,115.0,236.0,350,blue,NA1_4057271647
27.0,163.0,7.0,222.0,57,82.0,121.0,238.0,81.0,432,blue,NA1_4052193525
84.0,876.0,91.0,202.0,43,114.0,5.0,55.0,45.0,48,blue,NA1_4054535947
98.0,203.0,4.0,145.0,267,92.0,245.0,42.0,29.0,53,red,NA1_4052509934
23.0,876.0,240.0,523.0,432,39.0,163.0,91.0,21.0,350,blue,NA1_4056981943
85.0,91.0,777.0,147.0,267,266.0,60.0,75.0,145.0,98,blue,NA1_4059160589
24.0,141.0,50.0,81.0,154,92.0,238.0,38.0,51.0,16,red,NA1_4051968301
82.0,5.0,38.0,29.0,32,98.0,234.0,55.0,51.0,25,blue,NA1_4056041522
76.0,104.0,875.0,30.0,89,133.0,59.0,80.0,147.0,32,blue,NA1_4052660411
266.0,141.0,58.0,115.0,32,157.0,64.0,134.0,21.0,497,blue,NA1_4055428675
107.0,64.0,84.0,119.0,89,39.0,76.0,7.0,81.0,43,red,NA1_4051380288
39.0,245.0,711.0,202.0,111,41.0,141.0,85.0,145.0,267,blue,NA1_4053705240
10.0,35.0,157.0,202.0,412,266.0,887.0,38.0,145.0,111,blue,NA1_4058773825
240.0,76.0,34.0,360.0,32,36.0,64.0,84.0,145.0,80,blue,NA1_4056819496
266.0,59.0,8.0,22.0,350,777.0,876.0,5.0,81.0,497,red,NA1_4054717560
157.0,121.0,8.0,81.0,45,164.0,203.0,62.0,50.0,37,red,NA1_4055100093
6.0,163.0,3.0,67.0,117,24.0,104.0,20.0,22.0,147,red,NA1_4055467941
8.0,64.0,105.0,81.0,44,92.0,245.0,238.0,67.0,89,red,NA1_4054622018
875.0,876.0,8.0,81.0,44,31.0,78.0,10.0,18.0,412,blue,NA1_4054480273
114.0,2.0,55.0,21.0,350,223.0,121.0,236.0,147.0,16,red,NA1_4058559370
114.0,19.0,517.0,81.0,53,8.0,60.0,777.0,222.0,497,red,NA1_4061115243
6.0,68.0,69.0,236.0,16,56.0,245.0,777.0,711.0,555,red,NA1_4056544696
92.0,75.0,39.0,145.0,101,122.0,238.0,142.0,360.0,89,blue,NA1_4052787382
25.0,79.0,777.0,37.0,40,126.0,68.0,85.0,236.0,53,blue,NA1_4051850283
887.0,104.0,38.0,51.0,412,164.0,203.0,234.0,21.0,711,blue,NA1_4058963547
126.0,245.0,887.0,81.0,26,92.0,35.0,68.0,51.0,432,red,NA1_4050803525
266.0,64.0,55.0,81.0,25,74.0,56.0,105.0,67.0,412,red,NA1_4050511414
164.0,121.0,142.0,119.0,412,266.0,104.0,161.0,29.0,201,blue,NA1_4050425376
24.0,246.0,711.0,523.0,12,98.0,203.0,238.0,21.0,3,red,NA1_4054463605
6.0,203.0,103.0,145.0,111,13.0,30.0,16.0,18.0,99,blue,NA1_4058999055
875.0,421.0,45.0,81.0,37,24.0,203.0,104.0,15.0,117,blue,NA1_4054660458
164.0,245.0,23.0,81.0,147,266.0,876.0,39.0,22.0,432,blue,NA1_4055324113
92.0,107.0,103.0,145.0,111,39.0,163.0,166.0,37.0,497,red,NA1_4055078077
86.0,121.0,112.0,119.0,53,62.0,91.0,131.0,236.0,43,red,NA1_4060810952
240.0,245.0,238.0,236.0,497,887.0,2.0,23.0,202.0,350,blue,NA1_4053803027
41.0,9.0,91.0,360.0,32,24.0,203.0,55.0,21.0,555,blue,NA1_4053249499
164.0,5.0,7.0,145.0,154,39.0,121.0,166.0,115.0,26,red,NA1_4054981536
114.0,245.0,80.0,166.0,26,164.0,141.0,84.0,236.0,37,blue,NA1_4050542336
75.0,25.0,42.0,51.0,147,164.0,141.0,7.0,166.0,16,red,NA1_4060601959
126.0,9.0,238.0,81.0,432,54.0,163.0,39.0,21.0,37,blue,NA1_4060024813
