champion 1,champion 2,win rate
84.0,202.0,0.471
202.0,84.0,0.471
84.0,222.0,0.167
222.0,84.0,0.167
84.0,145.0,0.438
145.0,84.0,0.438
84.0,429.0,0.5
429.0,84.0,0.5
84.0,43.0,0.714
43.0,84.0,0.714
84.0,30.0,0.4
30.0,84.0,0.4
84.0,38.0,0.0
38.0,84.0,0.0
84.0,55.0,1.0
55.0,84.0,1.0
84.0,10.0,0.5
10.0,84.0,0.5
84.0,141.0,0.474
141.0,84.0,0.474
84.0,85.0,0.667
85.0,84.0,0.667
84.0,121.0,0.474
121.0,84.0,0.474
84.0,203.0,0.588
203.0,84.0,0.588
84.0,240.0,0.429
240.0,84.0,0.429
84.0,96.0,1.0
96.0,84.0,1.0
84.0,7.0,0.5
7.0,84.0,0.5
84.0,64.0,0.405
64.0,84.0,0.405
84.0,89.0,0.476
89.0,84.0,0.476
84.0,876.0,0.5
876.0,84.0,0.5
84.0,127.0,0.0
127.0,84.0,0.0
84.0,236.0,0.457
236.0,84.0,0.457
84.0,117.0,0.375
117.0,84.0,0.375
84.0,99.0,0.25
99.0,84.0,0.25
84.0,54.0,0.6
54.0,84.0,0.6
84.0,90.0,0.0
90.0,84.0,0.0
84.0,57.0,0.75
57.0,84.0,0.75
84.0,11.0,1.0
11.0,84.0,1.0
84.0,21.0,0.519
21.0,84.0,0.519
84.0,62.0,0.5
62.0,84.0,0.5
84.0,82.0,0.0
82.0,84.0,0.0
84.0,25.0,0.556
25.0,84.0,0.556
84.0,267.0,0.368
267.0,84.0,0.368
84.0,75.0,0.4
75.0,84.0,0.4
84.0,111.0,0.467
111.0,84.0,0.467
84.0,518.0,0.0
518.0,84.0,0.0
84.0,76.0,0.2
76.0,84.0,0.2
84.0,56.0,1.0
56.0,84.0,1.0
84.0,20.0,0.5
20.0,84.0,0.5
84.0,2.0,0.4
2.0,84.0,0.4
84.0,61.0,1.0
61.0,84.0,1.0
84.0,516.0,0.5
516.0,84.0,0.5
84.0,80.0,0.333
80.0,84.0,0.333
84.0,78.0,0.667
78.0,84.0,0.667
84.0,555.0,0.75
555.0,84.0,0.75
84.0,246.0,0.583
246.0,84.0,0.583
84.0,133.0,0.333
133.0,84.0,0.333
84.0,497.0,0.364
497.0,84.0,0.364
84.0,33.0,0.0
33.0,84.0,0.0
84.0,421.0,0.727
421.0,84.0,0.727
84.0,526.0,0.5
526.0,84.0,0.5
84.0,58.0,1.0
58.0,84.0,1.0
84.0,107.0,0.5
107.0,84.0,0.5
84.0,92.0,0.8
92.0,84.0,0.8
84.0,68.0,0.333
